id,text,user_name,user_location,sentiment,created,housemate
31,"_Ÿè€CBB Thursday 1/19_Ÿè€_Ÿ”_Stanford -3 2nd Half",JayKrier,"Denver, CO",NA,2017-01-20T05:01:00,No name
32,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,number7373733,,NA,2017-01-20T05:01:05,No name
33,RT @IncrediblyRich: Kim Woodburn genuinely comparing herself to Jesus Christ on national television there. Iconic. #CBB https://t.co/xX5Dvvâ€_,JackInterrupted,,NA,2017-01-20T05:01:17,No name
34,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,guddaboi,,NA,2017-01-20T05:01:29,No name
35,I know a lot find @planetjedward annoying but I love them #cbbuk,TinaKirslis,,pos,2017-01-20T05:01:32,No name
36,"RT @RFCGW: Considering she has spent her tv career cleaning things up, Kim Woodburn has forgot to clean her mouth out the ignorant cow #CBB",fatimasahmed,London/Manchester,neg,2017-01-20T05:01:33,No name
37,"RT @JayKrier: _Ÿè€CBB Thursday 1/19_Ÿè€_Ÿ”_Stanford -3 2nd Half",xavierik7,,NA,2017-01-20T05:02:06,No name
38,Fears for Kim Woodburn after epic meltdown in the #CBB house https://t.co/aNDE6fkBvF https://t.co/pQm8vpgtp4,TheSun,London,NA,2017-01-20T05:02:09,No name
39,RT @TomandLaura_: Love her or hate her she's got everyone talking about her _Ÿ˜œ_Ÿ˜ç_Ÿ˜‚#CBB #CBBBOTS @bbuk #kimwoodburn #Genius https://t.co/LVU231â€_,_spartan131,United States,NA,2017-01-20T05:02:27,No name
40,"@ThePerezHilton @bbuk @MrJamesCosmo i want him to enjoy freedom, so i hope he gets to attend @T2Trainspotting premiere this weekend. #cbb",JustineJT,____kualalumpur (malaysia)____,pos,2017-01-20T05:02:35,No name
41,RT @LornaSpaine: I wish someone looked at me the way Spencer looks at drama kicking off. #cbb https://t.co/Boi9G2l2uE,robbiemacher_,Fife,pos,2017-01-20T05:02:54,No name
42,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,gavinbrooks52,,NA,2017-01-20T05:03:01,No name
43,RT @CBigBrotherUK: When your mum gets back from work and starts shouting #CBB https://t.co/SWcIpkWFZi,_spartan131,United States,NA,2017-01-20T05:03:08,No name
44,RT @kimwoodburn666: I was always the prettier one xx #CBB https://t.co/tWafTloU63,fatimasahmed,London/Manchester,pos,2017-01-20T05:03:09,No name
45,#CBB #CBBUK is that #CBBChloe real lips or she got injections,teamjuju365,Instagram.com/teamjuju365,NA,2017-01-20T05:04:05,No name
46,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,ashley02344,,NA,2017-01-20T05:04:09,No name
47,RT @bbuk: Here's Jedward Jedwarding about as usual. #CBB https://t.co/eHpS15oift,LadyVenomWay,"Yorkshire, UK",NA,2017-01-20T05:04:13,No name
48,RT @Aymemusic: Imagine ya nan goes on the telly and has to be held back by a security guard so she doesn't knock out a footballer #cbb,xcjp_,,NA,2017-01-20T05:12:29,No name
49,Did Kim compare herself to Jesus in that conversation with Nicola?!? _Ÿ˜” #CBB,teemo2006,,NA,2017-01-20T05:12:33,No name
50,@MikeMcCabeSad same. I listen to kumail on anything. I haven't caught up on cbb or Hollywood handbook in forever.,Zach_Horn__,"Pensacola, Florida",NA,2017-01-20T05:12:39,No name
51,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,justindrew123,,NA,2017-01-20T05:12:41,No name
